product_id,title,product_description,rating,ratings_count,initial_price,discount,final_price,currency,images,delivery_options,product_details,breadcrumbs,product_specifications,amount_of_stars,what_customers_said,seller_name,sizes,videos,seller_information,variations,best_offer,more_offers,category
17743820,NOISE,"Beads White Truly Wireless Earbuds with 18hrs Playtime, and HyperSync",3.8,97,3499.0,,"""₹3,499.00""",INR,"http://assets.myntassets.com/assets/images/17743820/2023/6/20/3d35cf27-61ae-49ff-a431-afcecfd07cdb1687243937008-NOISE-Beads-White-Truly-Wireless-Earbuds-with-18hrs-Playtime-15.jpg,http://assets.myntassets.com/assets/images/17743820/2022/4/18/abd478e3-bb10-498a-b039-7cfcf10555611650262790202-NOISE-Beads-TWS-Wireless-Earbuds-with-Longest-Playtime-in-Si-1.jpg,http://assets.myntassets.com/assets/images/17743820/2022/4/18/7db86856-98ef-4189-af47-86a3d62ebd7e1650262790194-NOISE-Beads-TWS-Wireless-Earbuds-with-Longest-Playtime-in-Si-2.jpg,http://assets.myntassets.com/assets/images/17743820/2022/4/18/2e490a76-fee9-49d6-bb69-319cfb4793f61650262790185-NOISE-Beads-TWS-Wireless-Earbuds-with-Longest-Playtime-in-Si-3.jpg,http://assets.myntassets.com/assets/images/17743820/2022/4/18/fdbf8f09-0011-4de8-8fe2-4c09297a500a1650262790177-NOISE-Beads-TWS-Wireless-Earbuds-with-Longest-Playtime-in-Si-4.jpg,http://assets.myntassets.com/assets/images/17743820/2022/4/18/b17a201f-68fe-48ff-9b71-0276341fab9b1650262790170-NOISE-Beads-TWS-Wireless-Earbuds-with-Longest-Playtime-in-Si-5.jpg,http://assets.myntassets.com/assets/images/17743820/2022/4/18/543ce808-ad55-43f1-8e26-ecaf02f628751650262790163-NOISE-Beads-TWS-Wireless-Earbuds-with-Longest-Playtime-in-Si-6.jpg,http://assets.myntassets.com/assets/images/17743820/2022/4/18/a9aa7b53-01f0-476a-8014-2097082af2941650262790156-NOISE-Beads-TWS-Wireless-Earbuds-with-Longest-Playtime-in-Si-7.jpg","[""100% Original Products"",""Pay on delivery might be available"",""Items like innerwear, socks, certain accessories and some high-value fragile items do not come under our return policy""]","{""description"":""Bluetooth version v5.1IPX5 water proofVoice Assistant/SiriFull touch controlsUpto 18 hours playtimeBluetooth range 10mHands free callingUSB Type C chargingHyper syncWarranty: 1 yearWarranty provided by brand/manufacturerFeatures:Lightweight and compact in form, these buds are ergonomically designed to provide you with the perfect fit for all day usage while the metallic finish makes them your go-to style partner.With Hyper Sync technology at your disposal, you can connect with your smartphone on-the- go, from anywhere.Experience complete freedom - control volume, change tracks, manage calls and more with just a few touches.Get your entertainment for 7 hours straight on a single charge and a total playtime of 18 hours with the charging case.Now hustle on without a worry as IPX5 water-resistance ensures protection from splashes and sweaty fitness sessions alike.From knowing about the weather to making a note on your to-do list, the voice assistant on your Beads will do everything, on your command. Just triple tap to activateWarranty: 1 yearWarranty provided by Brand/Manufacturer""}","[{""name"":""Accessories"",""url"":""https://www.myntra.com/accessories""},{""name"":""Unisex"",""url"":""https://www.myntra.com/unisex-accessories""},{""name"":""Headphones"",""url"":""https://www.myntra.com/headphones""},{""name"":""NOISE"",""url"":""https://www.myntra.com/noise-headphones""},{""name"":""More by NOISE"",""url"":""https://www.myntra.com/noise""}]","[{""specification_name"":""Connectivity"",""specification_value"":""True Wireless""},{""specification_name"":""Microphone"",""specification_value"":""Yes""},{""specification_name"":""Pattern"",""specification_value"":""Solid""},{""specification_name"":""Sustainable"",""specification_value"":""Regular""},{""specification_name"":""Type"",""specification_value"":""In Ear""},{""specification_name"":""Warranty"",""specification_value"":""1 year""}]","{""1_star"":18,""2_stars"":3,""3_stars"":8,""4_stars"":15,""5_stars"":53}",,,"[{""size"":""Onesize""}]","[""rw-17743820_cae700""]",,"[{},{}]",{},"[{""offer_name"":""10% Instant Discount on Citi Credit & Debit Cards "",""offer_value"":"" Min Spend ₹3,000; Max Discount ₹1,000. ""},{""offer_name"":""EMI option available""}]",headphones
19219056,BLAUPUNKT,BH51 Wireless Earphones - Black,4.5,11,5999.0,33.0,"""₹3,999.00""",INR,"http://assets.myntassets.com/assets/images/19219056/2022/8/8/ea031aa3-de8c-4349-965d-9099c99631861659956044264-BLAUPUNKT-Unisex-Headphones-1581659956043824-1.jpg,http://assets.myntassets.com/assets/images/19219056/2022/8/8/b6af906d-d380-48ba-a57c-d8908c2356111659956044256-BLAUPUNKT-Unisex-Headphones-1581659956043824-2.jpg,http://assets.myntassets.com/assets/images/19219056/2022/8/8/5beb0e54-8f16-4923-b135-34bc8f652b0c1659956044247-BLAUPUNKT-Unisex-Headphones-1581659956043824-3.jpg,http://assets.myntassets.com/assets/images/19219056/2022/8/8/ba69013d-3c35-4ac0-baac-8fa0b4eb79981659956044238-BLAUPUNKT-Unisex-Headphones-1581659956043824-4.jpg,http://assets.myntassets.com/assets/images/19219056/2022/8/8/fa7502eb-25c4-4077-a14f-8fea902e29b21659956044229-BLAUPUNKT-Unisex-Headphones-1581659956043824-5.jpg,http://assets.myntassets.com/assets/images/19219056/2022/8/8/bf7b9b64-d7d7-4469-8651-b3aca7c1ff1d1659956044218-BLAUPUNKT-Unisex-Headphones-1581659956043824-6.jpg","[""100% Original Products"",""Pay on delivery might be available"",""Items like innerwear, socks, certain accessories and some high-value fragile items do not come under our return policy""]","{""description"":""Features:Active Noise Cancellation40 mm dynamic drivers for clear sound32 hours of playtimeTurbovolt charging Padded cushion for better experienceWarranty: 1 yearWarranty provided by brand/Manufacturer""}","[{""name"":""Accessories"",""url"":""https://www.myntra.com/accessories""},{""name"":""Unisex"",""url"":""https://www.myntra.com/unisex-accessories""},{""name"":""Headphones"",""url"":""https://www.myntra.com/headphones""},{""name"":""BLAUPUNKT"",""url"":""https://www.myntra.com/blaupunkt-headphones""},{""name"":""More by BLAUPUNKT"",""url"":""https://www.myntra.com/blaupunkt""}]","[{""specification_name"":""Connectivity"",""specification_value"":""Wireless""},{""specification_name"":""Microphone"",""specification_value"":""Yes""},{""specification_name"":""Pattern"",""specification_value"":""Solid""},{""specification_name"":""Sustainable"",""specification_value"":""Regular""},{""specification_name"":""Type"",""specification_value"":""Over Ear""},{""specification_name"":""Warranty"",""specification_value"":""1 year""}]","{""1_star"":0,""2_stars"":1,""3_stars"":1,""4_stars"":0,""5_stars"":9}",,Sup███om ███,"[{""size"":""Onesize""}]",,Plo███o- ███ 1s█████████Sui█████████████████████al ██████████████████████████████████████████,[{}],"{""applicable_on"":""Orders above Rs. 1499 (only on first purchase)"",""best_price"":""3599"",""coupon_code"":""MYNTRA400"",""coupon_discount"":"" Rs. 400.0 off (check cart for final savings)""}","[{""offer_name"":""10% Instant Discount on IndusInd Bank Debit Cards "",""offer_value"":"" Min Spend ₹2,500; Max Discount ₹1,000. ""},{""offer_name"":""10% Instant Discount on Citi Credit & Debit Cards "",""offer_value"":"" Min Spend ₹3,000; Max Discount ₹1,000. ""},{""offer_name"":""10% Instant Discount on Yes Bank Credit Cards "",""offer_value"":"" Min Spend ₹3,500; Max Discount ₹1,000. ""},{""offer_name"":""Flat ₹100 Cashback on Mobiwkik Wallet/Zip "",""offer_value"":"" Min Spend ₹1,999. ""},{""offer_name"":""7.5% Discount on Myntra Kotak Credit Card."",""offer_value"":"" Max Discount Up to ₹750 on every spends. ""},{""offer_name"":""EMI option available"",""offer_value"":""EMI starting from Rs.187/month""}]",headphones
16193242,CrossBeats,Silver-Toned Solid Truly Wireless In-Ear Earbuds,1.7,17,9999.0,,"""₹9,999.00""",INR,"http://assets.myntassets.com/assets/images/16193242/2021/11/22/7683c64d-fcbc-4a33-9468-578b2448db691637562824298Headphones1.jpg,http://assets.myntassets.com/assets/images/16193242/2021/11/22/38f87fbb-f3b5-4236-916c-bdfcda39fe141637562824886Headphones2.jpg,http://assets.myntassets.com/assets/images/16193242/2021/11/22/7cbacec5-8315-4306-860a-f6ab77726fc91637562824147Headphones3.jpg,http://assets.myntassets.com/assets/images/16193242/2021/11/22/6beddf68-f1c0-44d2-8f14-e61cb3be49521637562824715Headphones4.jpg,http://assets.myntassets.com/assets/images/16193242/2021/11/22/73191e87-9d31-4f16-a847-cc6213b9718a1637562823969Headphones5.jpg,http://assets.myntassets.com/assets/images/16193242/2021/11/22/0bd66b64-0afd-46c0-af3c-36f06d8f86a91637562824419Headphones6.jpg,http://assets.myntassets.com/assets/images/16193242/2021/11/22/168d2ade-bad7-43d8-ba63-07d3895891391637562824580Headphones7.jpg","[""100% Original Products"",""Pay on delivery might be available"",""Items like innerwear, socks, certain accessories and some high-value fragile items do not come under our return policy""]","{""description"":""Silver-toned solid truly wireless in ear earbuds with microphoneFeatures:'QuietOn Hybrid ANC Technology' with 3 transparency modes - normal, ambient and active noise cancelingSmart auto pairing and with 11mm titanium driversComes with Type C chargingBluetooth version 5.2Water and dust resistance IPX4 rating12hrs of playtimeCharging time -1.5 hrsWarranty: 1 YearWarranty provided by brand/manufacturer"",""material_and_care"":""Do not use a fast or dash charger. Avoid physical damage. Do not charge the earbuds when it is wet""}","[{""name"":""Accessories"",""url"":""https://www.myntra.com/accessories""},{""name"":""Unisex"",""url"":""https://www.myntra.com/unisex-accessories""},{""name"":""Headphones"",""url"":""https://www.myntra.com/headphones""},{""name"":""CrossBeats"",""url"":""https://www.myntra.com/crossbeats-headphones""},{""name"":""More by CrossBeats"",""url"":""https://www.myntra.com/crossbeats""}]","[{""specification_name"":""Connectivity"",""specification_value"":""True Wireless""},{""specification_name"":""Microphone"",""specification_value"":""Yes""},{""specification_name"":""Pattern"",""specification_value"":""Solid""},{""specification_name"":""Sustainable"",""specification_value"":""Regular""},{""specification_name"":""Type"",""specification_value"":""In Ear""},{""specification_name"":""Warranty"",""specification_value"":""1 year""}]","{""1_star"":13,""2_stars"":1,""3_stars"":0,""4_stars"":1,""5_stars"":2}",,SEL███ITE███GIT█████████,"[{""size"":""Onesize""}]","[""rw-16193242_cae700""]",SEL███ITE███GIT█████████BRI█████████████████████E R█████████████████████████████████████████████,"[{},{}]","{""applicable_on"":""Orders above Rs. 1499 (only on first purchase)"",""best_price"":""9599"",""coupon_code"":""MYNTRA400"",""coupon_discount"":"" Rs. 400.0 off (check cart for final savings)""}","[{""offer_name"":""10% Instant Discount on IndusInd Bank Debit Cards "",""offer_value"":"" Min Spend ₹2,500; Max Discount ₹1,000. ""},{""offer_name"":""10% Instant Discount on Citi Credit & Debit Cards "",""offer_value"":"" Min Spend ₹3,000; Max Discount ₹1,000. ""},{""offer_name"":""10% Instant Discount on Yes Bank Credit Cards "",""offer_value"":"" Min Spend ₹3,500; Max Discount ₹1,000. ""},{""offer_name"":""Flat ₹100 Cashback on Mobiwkik Wallet/Zip "",""offer_value"":"" Min Spend ₹1,999. ""},{""offer_name"":""7.5% Discount on Myntra Kotak Credit Card."",""offer_value"":"" Max Discount Up to ₹750 on every spends. ""},{""offer_name"":""EMI option available"",""offer_value"":""EMI starting from Rs.467/month""}]",headphones
