product_id,title,product_description,rating,ratings_count,initial_price,discount,final_price,currency,images,delivery_options,product_details,breadcrumbs,product_specifications,amount_of_stars,what_customers_said,seller_name,sizes,videos,seller_information,variations,best_offer,more_offers,category
13374246,Saral Home,Blue Solid PP-Yarn Round Anti-Skid Multi-Use Floor Mat,0.0,0,1999.0,50.0,"""₹999.00""",INR,"http://assets.myntassets.com/assets/images/13374246/2022/1/1/2517da6a-4d98-4fbe-9fa0-abecfe9502ed1641030206718SaralHomeBlueSolidPP-YarnRoundAnti-SkidMulti-UseFloorMat1.jpg,http://assets.myntassets.com/assets/images/13374246/2022/1/1/ee220434-25ff-4e3b-b173-919ef78481581641030206734SaralHomeBlueSolidPP-YarnRoundAnti-SkidMulti-UseFloorMat2.jpg,http://assets.myntassets.com/assets/images/13374246/2022/1/1/e30aa3b5-ecf6-4e89-99e2-c1dafc3af3bc1641030206757SaralHomeBlueSolidPP-YarnRoundAnti-SkidMulti-UseFloorMat3.jpg,http://assets.myntassets.com/assets/images/13374246/2022/1/1/cf8d560e-80b4-4244-ac67-55ee2eab58a41641030206780SaralHomeBlueSolidPP-YarnRoundAnti-SkidMulti-UseFloorMat4.jpg","[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""Set content: 1 matType: Floor matColour: BluePattern: SolidShape: RoundFeature: Anti-Skid"",""material_and_care"":""Polypropylene. Vacuum Regularly. Do not machine wash. Spot clean. Line Dry"",""size_and_fit"":""Diameter: 90 cm""}","[{""name"":""Unisex"",""url"":""https://www.myntra.com/unisex-home""},{""name"":""Floor Mats & Dhurries"",""url"":""https://www.myntra.com/floor-mats-&-dhurries""},{""name"":""Saral Home"",""url"":""https://www.myntra.com/saral-home-floor-mats-&-dhurries""},{""name"":""More by Saral Home"",""url"":""https://www.myntra.com/saral-home""}]","[{""specification_name"":""Fabric"",""specification_value"":""Polypropylene""},{""specification_name"":""Features"",""specification_value"":""Anti-Skid""},{""specification_name"":""Print or Pattern Type"",""specification_value"":""Solid""},{""specification_name"":""Set Size"",""specification_value"":""1""},{""specification_name"":""Sustainable"",""specification_value"":""Regular""},{""specification_name"":""Type"",""specification_value"":""Floor Mat""}]","{""1_star"":0,""2_stars"":0,""3_stars"":0,""4_stars"":0,""5_stars"":0}",,SAR███HOM███ASY█████████RIV████████████,"[{""size"":""Onesize""}]","[""pi-13374246_cae700""]",NEA███LOR███SEC█████████RT █████████████████████na █████████,"[{},{},{},{},{},{}]","{""applicable_on"":""Orders above Rs. 999 (only on first purchase)"",""best_price"":""699"",""coupon_code"":""MYNTRA300"",""coupon_discount"":"" Rs. 300.0 off (check cart for final savings)""}","[{""offer_name"":""10% Instant Discount on IndusInd Bank Debit Cards "",""offer_value"":"" Min Spend ₹2,500; Max Discount ₹1,000. ""},{""offer_name"":""10% Instant Discount on Citi Credit & Debit Cards "",""offer_value"":"" Min Spend ₹3,000; Max Discount ₹1,000. ""},{""offer_name"":""10% Instant Discount on Yes Bank Credit Cards "",""offer_value"":"" Min Spend ₹3,500; Max Discount ₹1,000. ""},{""offer_name"":""Flat ₹100 Cashback on Mobiwkik Wallet/Zip "",""offer_value"":"" Min Spend ₹1,999. ""},{""offer_name"":""7.5% Discount on Myntra Kotak Credit Card."",""offer_value"":"" Max Discount Up to ₹750 on every spends. ""}]",floor-mats--dhurries
13374206,Saral Home,White & Grey Geometric Patterned Multi-Use Dhurrie,3.4,7,1199.0,45.0,"""₹659.00""",INR,"http://assets.myntassets.com/assets/images/13374206/2024/1/16/8192f1af-6661-4817-be52-8917dae3ea891705399508089SaralHomeWhiteGreyGeometricPatternedMulti-UseDhurrie1.jpg,http://assets.myntassets.com/assets/images/13374206/2024/1/16/85255c96-b5b6-4d71-85b2-5db1351985691705399508096SaralHomeWhiteGreyGeometricPatternedMulti-UseDhurrie2.jpg,http://assets.myntassets.com/assets/images/13374206/2024/1/16/3bd48ba5-cf96-43e8-885a-6782c99731411705399508107SaralHomeWhiteGreyGeometricPatternedMulti-UseDhurrie3.jpg,http://assets.myntassets.com/assets/images/13374206/2024/1/16/6d369c4a-6ee9-4baf-984d-70f9e8ebf4111705399508118SaralHomeWhiteGreyGeometricPatternedMulti-UseDhurrie4.jpg","[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""Set content: 1 matType: DhurrieColour: White and greyPattern: Geometric PatternedShape: Rectangular"",""material_and_care"":""Cotton. Vacuum Regularly. Do not machine wash. Spot clean. Line Dry"",""size_and_fit"":""Dimensions: 1.3 m x 0.5 m (Length x Width)""}","[{""name"":""Unisex"",""url"":""https://www.myntra.com/unisex-home""},{""name"":""Floor Mats & Dhurries"",""url"":""https://www.myntra.com/floor-mats-&-dhurries""},{""name"":""Saral Home"",""url"":""https://www.myntra.com/saral-home-floor-mats-&-dhurries""},{""name"":""More by Saral Home"",""url"":""https://www.myntra.com/saral-home""}]","[{""specification_name"":""Fabric"",""specification_value"":""Cotton""},{""specification_name"":""Features"",""specification_value"":""NA""},{""specification_name"":""Print or Pattern Type"",""specification_value"":""Geometric""},{""specification_name"":""Set Size"",""specification_value"":""1""},{""specification_name"":""Sustainable"",""specification_value"":""Regular""},{""specification_name"":""Type"",""specification_value"":""Dhurrie""}]","{""1_star"":0,""2_stars"":2,""3_stars"":1,""4_stars"":3,""5_stars"":1}",,SAR███HOM███ASY█████████RIV████████████,"[{""size"":""Onesize""}]",,NEA███LOR███SEC█████████RT █████████████████████na █████████,"[{},{},{},{},{}]","{""applicable_on"":""Orders above Rs. 649 (only on first purchase)"",""best_price"":""459"",""coupon_code"":""MYNTRA200"",""coupon_discount"":"" Rs. 200.0 off (check cart for final savings)""}","[{""offer_name"":""10% Instant Discount on IndusInd Bank Debit Cards "",""offer_value"":"" Min Spend ₹2,500; Max Discount ₹1,000. ""},{""offer_name"":""10% Instant Discount on Citi Credit & Debit Cards "",""offer_value"":"" Min Spend ₹3,000; Max Discount ₹1,000. ""},{""offer_name"":""10% Instant Discount on Yes Bank Credit Cards "",""offer_value"":"" Min Spend ₹3,500; Max Discount ₹1,000. ""},{""offer_name"":""Flat ₹100 Cashback on Mobiwkik Wallet/Zip "",""offer_value"":"" Min Spend ₹1,999. ""},{""offer_name"":""7.5% Discount on Myntra Kotak Credit Card."",""offer_value"":"" Max Discount Up to ₹750 on every spends. ""}]",floor-mats--dhurries
13374286,Saral Home,Blue Foor Mat,4.7,7,1999.0,27.0,"""₹1,459.00""",INR,"http://assets.myntassets.com/assets/images/13374286/2024/1/16/f368cc29-f743-4133-b297-34003b34624e1705399480282SaralHomeBlueFoorMat1.jpg,http://assets.myntassets.com/assets/images/13374286/2024/1/16/05d4e415-c41b-44b7-b8be-4f44a4eca83f1705399480294SaralHomeBlueFoorMat2.jpg,http://assets.myntassets.com/assets/images/13374286/2024/1/16/103b37d5-33f2-44b4-b0cb-c441d89e1a751705399480304SaralHomeBlueFoorMat3.jpg","[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""Foor Mat"",""material_and_care"":""Gentle Cycle Machine Washable"",""size_and_fit"":""50X80 CM""}","[{""name"":""Unisex"",""url"":""https://www.myntra.com/unisex-home""},{""name"":""Floor Mats & Dhurries"",""url"":""https://www.myntra.com/floor-mats-&-dhurries""},{""name"":""Saral Home"",""url"":""https://www.myntra.com/saral-home-floor-mats-&-dhurries""},{""name"":""More by Saral Home"",""url"":""https://www.myntra.com/saral-home""}]","[{""specification_name"":""Fabric"",""specification_value"":""Cotton""},{""specification_name"":""Features"",""specification_value"":""Anti-Skid""},{""specification_name"":""Print or Pattern Type"",""specification_value"":""Solid""},{""specification_name"":""Set Size"",""specification_value"":""1""},{""specification_name"":""Sustainable"",""specification_value"":""Regular""},{""specification_name"":""Type"",""specification_value"":""Floor Mat""}]","{""1_star"":0,""2_stars"":0,""3_stars"":1,""4_stars"":0,""5_stars"":6}",,SAR███HOM███ASY█████████RIV████████████,"[{""size"":""Onesize""}]",,NEA███LOR███SEC█████████RT █████████████████████na █████████,[{}],"{""applicable_on"":""Orders above Rs. 1499 (only on first purchase)"",""best_price"":""1070"",""coupon_code"":""MYNTRA400"",""coupon_discount"":"" Rs. 389.0 off (check cart for final savings)""}","[{""offer_name"":""10% Instant Discount on IndusInd Bank Debit Cards "",""offer_value"":"" Min Spend ₹2,500; Max Discount ₹1,000. ""},{""offer_name"":""10% Instant Discount on Citi Credit & Debit Cards "",""offer_value"":"" Min Spend ₹3,000; Max Discount ₹1,000. ""},{""offer_name"":""10% Instant Discount on Yes Bank Credit Cards "",""offer_value"":"" Min Spend ₹3,500; Max Discount ₹1,000. ""},{""offer_name"":""Flat ₹100 Cashback on Mobiwkik Wallet/Zip "",""offer_value"":"" Min Spend ₹1,999. ""},{""offer_name"":""7.5% Discount on Myntra Kotak Credit Card."",""offer_value"":"" Max Discount Up to ₹750 on every spends. ""}]",floor-mats--dhurries
13374306,Saral Home,Gold-Coloured Solid PP-Yarn Round Anti-Skid Multi-Use Floor Mat,0.0,0,1999.0,50.0,"""₹999.00""",INR,"http://assets.myntassets.com/assets/images/13374306/2022/1/1/80308e6e-85e2-4b0d-8a9a-0d933d37e6391641030209589SaralHomeGold-ColouredSolidPP-YarnRoundAnti-SkidMulti-UseFlo1.jpg,http://assets.myntassets.com/assets/images/13374306/2022/1/1/546cd8b5-ed44-4580-a596-6ef7c6adf64b1641030209601SaralHomeGold-ColouredSolidPP-YarnRoundAnti-SkidMulti-UseFlo2.jpg,http://assets.myntassets.com/assets/images/13374306/2022/1/1/ed897aab-f5fa-4e8f-beaa-6b5156e1d4ef1641030209626SaralHomeGold-ColouredSolidPP-YarnRoundAnti-SkidMulti-UseFlo3.jpg,http://assets.myntassets.com/assets/images/13374306/2022/1/1/efa265eb-d01e-41c4-9f4f-f67c2aa273531641030209647SaralHomeGold-ColouredSolidPP-YarnRoundAnti-SkidMulti-UseFlo4.jpg","[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""Set content: 1 matType: Floor matColour: Gold-colouredPattern: SolidShape: RoundFeature: Anti-Skid"",""material_and_care"":""Polypropylene. Vacuum Regularly. Do not machine wash. Spot clean. Line Dry"",""size_and_fit"":""Diameter: 90 cm""}","[{""name"":""Unisex"",""url"":""https://www.myntra.com/unisex-home""},{""name"":""Floor Mats & Dhurries"",""url"":""https://www.myntra.com/floor-mats-&-dhurries""},{""name"":""Saral Home"",""url"":""https://www.myntra.com/saral-home-floor-mats-&-dhurries""},{""name"":""More by Saral Home"",""url"":""https://www.myntra.com/saral-home""}]","[{""specification_name"":""Fabric"",""specification_value"":""Polypropylene""},{""specification_name"":""Features"",""specification_value"":""Anti-Skid""},{""specification_name"":""Print or Pattern Type"",""specification_value"":""Solid""},{""specification_name"":""Set Size"",""specification_value"":""1""},{""specification_name"":""Sustainable"",""specification_value"":""Regular""},{""specification_name"":""Type"",""specification_value"":""Floor Mat""}]","{""1_star"":0,""2_stars"":0,""3_stars"":0,""4_stars"":0,""5_stars"":0}",,SAR███HOM███ASY█████████RIV████████████,"[{""size"":""Onesize""}]","[""pi-13374306_cae700""]",NEA███LOR███SEC█████████RT █████████████████████na █████████,"[{},{},{},{},{},{}]","{""applicable_on"":""Orders above Rs. 999 (only on first purchase)"",""best_price"":""699"",""coupon_code"":""MYNTRA300"",""coupon_discount"":"" Rs. 300.0 off (check cart for final savings)""}","[{""offer_name"":""10% Instant Discount on IndusInd Bank Debit Cards "",""offer_value"":"" Min Spend ₹2,500; Max Discount ₹1,000. ""},{""offer_name"":""10% Instant Discount on Citi Credit & Debit Cards "",""offer_value"":"" Min Spend ₹3,000; Max Discount ₹1,000. ""},{""offer_name"":""10% Instant Discount on Yes Bank Credit Cards "",""offer_value"":"" Min Spend ₹3,500; Max Discount ₹1,000. ""},{""offer_name"":""Flat ₹100 Cashback on Mobiwkik Wallet/Zip "",""offer_value"":"" Min Spend ₹1,999. ""},{""offer_name"":""7.5% Discount on Myntra Kotak Credit Card."",""offer_value"":"" Max Discount Up to ₹750 on every spends. ""}]",floor-mats--dhurries
13374334,Saral Home,Green Solid Anti-Skid Floor Mat,4.4,5,1999.0,27.0,"""₹1,459.00""",INR,"http://assets.myntassets.com/assets/images/13374334/2024/1/16/06eff20b-574d-42f6-8a38-d96f61b115411705399483841SaralHomeGreenSolidAnti-SkidFloorMat1.jpg,http://assets.myntassets.com/assets/images/13374334/2024/1/16/51c26691-7f82-452e-a8ba-26a21742e5c31705399483854SaralHomeGreenSolidAnti-SkidFloorMat2.jpg,http://assets.myntassets.com/assets/images/13374334/2024/1/16/0d980bf3-95ec-4d6b-ad23-7b3cf265f1c81705399483865SaralHomeGreenSolidAnti-SkidFloorMat3.jpg,http://assets.myntassets.com/assets/images/13374334/2024/1/16/ee2762d6-f8f0-48f4-affa-81f6a8db214e1705399483877SaralHomeGreenSolidAnti-SkidFloorMat4.jpg","[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""Set content: 1 floor matColour: GreenPattern: SolidFeatures: Anti-skid"",""material_and_care"":""Cotton. Machine-wash. "",""size_and_fit"":""Dimensions: 50 x 80 cm (height x width). ""}","[{""name"":""Unisex"",""url"":""https://www.myntra.com/unisex-home""},{""name"":""Floor Mats & Dhurries"",""url"":""https://www.myntra.com/floor-mats-&-dhurries""},{""name"":""Saral Home"",""url"":""https://www.myntra.com/saral-home-floor-mats-&-dhurries""},{""name"":""More by Saral Home"",""url"":""https://www.myntra.com/saral-home""}]","[{""specification_name"":""Fabric"",""specification_value"":""Cotton""},{""specification_name"":""Features"",""specification_value"":""Anti-Skid""},{""specification_name"":""Print or Pattern Type"",""specification_value"":""Solid""},{""specification_name"":""Set Size"",""specification_value"":""1""},{""specification_name"":""Sustainable"",""specification_value"":""Regular""},{""specification_name"":""Type"",""specification_value"":""Floor Mat""}]","{""1_star"":0,""2_stars"":1,""3_stars"":0,""4_stars"":0,""5_stars"":4}",,SAR███HOM███ASY█████████RIV████████████,"[{""size"":""Onesize""}]",,NEA███LOR███SEC█████████RT █████████████████████na █████████,[{}],"{""applicable_on"":""Orders above Rs. 1499 (only on first purchase)"",""best_price"":""1070"",""coupon_code"":""MYNTRA400"",""coupon_discount"":"" Rs. 389.0 off (check cart for final savings)""}","[{""offer_name"":""10% Instant Discount on IndusInd Bank Debit Cards "",""offer_value"":"" Min Spend ₹2,500; Max Discount ₹1,000. ""},{""offer_name"":""10% Instant Discount on Citi Credit & Debit Cards "",""offer_value"":"" Min Spend ₹3,000; Max Discount ₹1,000. ""},{""offer_name"":""10% Instant Discount on Yes Bank Credit Cards "",""offer_value"":"" Min Spend ₹3,500; Max Discount ₹1,000. ""},{""offer_name"":""Flat ₹100 Cashback on Mobiwkik Wallet/Zip "",""offer_value"":"" Min Spend ₹1,999. ""},{""offer_name"":""7.5% Discount on Myntra Kotak Credit Card."",""offer_value"":"" Max Discount Up to ₹750 on every spends. ""}]",floor-mats--dhurries
