product_id,title,product_description,rating,ratings_count,initial_price,discount,final_price,currency,images,delivery_options,product_details,breadcrumbs,product_specifications,amount_of_stars,what_customers_said,seller_name,sizes,videos,seller_information,variations,best_offer,more_offers,category
8376765,Lino Perros,Women Navy Blue Solid Backpack,3.8,15,3995.0,58.0,"""₹3,995.00""",INR,"http://assets.myntassets.com/assets/images/8376765/2019/2/14/c93b7d05-6311-497e-ad00-7395c266a9771550142767008-Lino-Perros-Women-Navy-Blue-Solid-Backpack-3271550142765402-1.jpg,http://assets.myntassets.com/assets/images/8376765/2019/2/14/3d5659ce-855a-4e08-9880-970866c824a31550142766980-Lino-Perros-Women-Navy-Blue-Solid-Backpack-3271550142765402-2.jpg,http://assets.myntassets.com/assets/images/8376765/2019/2/14/6a75cfc6-b0a0-4a7a-9561-cd425d3314f31550142766954-Lino-Perros-Women-Navy-Blue-Solid-Backpack-3271550142765402-3.jpg,http://assets.myntassets.com/assets/images/8376765/2019/2/14/6e5b0338-2242-4f64-8fcf-2fc2e7fff5851550142766927-Lino-Perros-Women-Navy-Blue-Solid-Backpack-3271550142765402-4.jpg,http://assets.myntassets.com/assets/images/8376765/2019/2/14/4ccfa2c4-f356-464b-94fd-b48633ab171e1550142766902-Lino-Perros-Women-Navy-Blue-Solid-Backpack-3271550142765402-5.jpg,http://assets.myntassets.com/assets/images/8376765/2019/2/14/0db3b6e8-676d-4459-8e4a-7c8b86ce401f1550142766879-Lino-Perros-Women-Navy-Blue-Solid-Backpack-3271550142765402-6.jpg","[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""Navy Blue solid backpackNon-Padded haul loop1 main compartment with flap and button closureNon-Padded backPadded shoulder strap: Non-PaddedWater-resistance: No"",""material_and_care"":""Synthetic Leather. Wipe with a clean, dry cloth to remove dust"",""size_and_fit"":""Height: 34 cm. Width: 33 cm. Depth: 14 cm. Volume: 15.7 litres""}","[{""name"":""Accessories"",""url"":""https://www.myntra.com/accessories""},{""name"":""Women"",""url"":""https://www.myntra.com/women-accessories""},{""name"":""Backpacks"",""url"":""https://www.myntra.com/backpacks""},{""name"":""Lino Perros"",""url"":""https://www.myntra.com/lino-perros-backpacks""},{""name"":""More by Lino Perros"",""url"":""https://www.myntra.com/lino-perros""}]","[{""specification_name"":""Add-Ons"",""specification_value"":""NA""},{""specification_name"":""Back"",""specification_value"":""Non-Padded""},{""specification_name"":""Compartment Closure"",""specification_value"":""Flap""},{""specification_name"":""External Pocket"",""specification_value"":""Zip Pocket""},{""specification_name"":""Features"",""specification_value"":""NA""},{""specification_name"":""Features 2"",""specification_value"":""NA""},{""specification_name"":""Haul Loop Type"",""specification_value"":""Non-Padded""},{""specification_name"":""Laptop Compartment"",""specification_value"":""NA""},{""specification_name"":""Laptop Size"",""specification_value"":""NA""},{""specification_name"":""Material"",""specification_value"":""Synthetic Leather""},{""specification_name"":""Number of External Pockets"",""specification_value"":""2""},{""specification_name"":""Number of Main Compartments"",""specification_value"":""1""},{""specification_name"":""Number of Zips"",""specification_value"":""NA""},{""specification_name"":""Occasion"",""specification_value"":""Casual""},{""specification_name"":""Padded Shoulder Strap"",""specification_value"":""Non-Padded""},{""specification_name"":""Print or Pattern Type"",""specification_value"":""Solid""},{""specification_name"":""Shoulder Strap Type"",""specification_value"":""Ergonomic""},{""specification_name"":""Side Pockets"",""specification_value"":""NA""},{""specification_name"":""Size"",""specification_value"":""Medium""},{""specification_name"":""Surface Styling"",""specification_value"":""Tasselled""},{""specification_name"":""Tablet Sleeve"",""specification_value"":""NA""},{""specification_name"":""Technology"",""specification_value"":""NA""},{""specification_name"":""Volume in Litres"",""specification_value"":""Up to 23 Litres""},{""specification_name"":""Warranty"",""specification_value"":""NA""},{""specification_name"":""Water Resistance"",""specification_value"":""No""}]","{""1_star"":2,""2_stars"":0,""3_stars"":3,""4_stars"":4,""5_stars"":6}",,,"[{""size"":""Onesize""}]","[""rw-8376765_cae700""]",,[{}],{},"[{""offer_name"":""10% Instant Discount on Citi Credit & Debit Cards "",""offer_value"":"" Min Spend ₹3,000; Max Discount ₹1,000. ""},{""offer_name"":""EMI option available""}]",backpacks
9136281,Tommy Hilfiger,Unisex Navy Blue Striped Backpack,4.5,67,2899.0,35.0,"""₹2,899.00""",INR,"http://assets.myntassets.com/assets/images/9136281/2021/1/5/76e86881-810a-4c7f-9860-4fc07a93571a1609850007038-Tommy-Hilfiger-Stripe-Line-Signature-Tape-3481609850004862-1.jpg,http://assets.myntassets.com/assets/images/9136281/2021/1/5/dd37695f-aa65-432c-b854-b82e2e59592b1609850006992-Tommy-Hilfiger-Stripe-Line-Signature-Tape-3481609850004862-2.jpg,http://assets.myntassets.com/assets/images/9136281/2021/1/5/6abe094e-6728-45c8-be56-6ac519ac26781609850006938-Tommy-Hilfiger-Stripe-Line-Signature-Tape-3481609850004862-3.jpg,http://assets.myntassets.com/assets/images/9136281/2021/1/5/1564a20b-0dee-48eb-87a5-0fa3ceec96101609850006886-Tommy-Hilfiger-Stripe-Line-Signature-Tape-3481609850004862-4.jpg,http://assets.myntassets.com/assets/images/9136281/2021/1/5/68a140ec-b3f6-4d88-ae24-27344e819c8e1609850006827-Tommy-Hilfiger-Stripe-Line-Signature-Tape-3481609850004862-5.jpg,http://assets.myntassets.com/assets/images/9136281/2021/1/5/38d10c2b-e6c0-443c-b5f9-764d477f4dc71609850006776-Tommy-Hilfiger-Stripe-Line-Signature-Tape-3481609850004862-6.jpg,http://assets.myntassets.com/assets/images/9136281/2021/1/5/87c7c398-6e9a-431c-944f-1cc09e6aecbd1609850006717-Tommy-Hilfiger-Stripe-Line-Signature-Tape-3481609850004862-7.jpg,http://assets.myntassets.com/assets/images/9136281/2021/1/12/7256ddcf-1e4f-4f0d-ba73-6202d871bacd1610454343109-Tommy-Hilfiger-Unisex-Navy-Blue-Striped-Backpack-83416104543-12.jpg","[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""Navy Blue backpackNon-Padded haul loop1 main compartment with zip closurePadded Mesh backZip PocketPadded shoulder strap: PaddedWater-resistance: YesWarranty: 2 yearsWarranty provided by brand/manufacturer"",""material_and_care"":""Polyester. Wipe with a clean, dry cloth to remove dust"",""size_and_fit"":""Height: 47 cm. Width: 31 cm. Depth: 14 cm. Laptop Sleeve: 36 cm ( Can hold upto 15 inch laptop)""}","[{""name"":""Accessories"",""url"":""https://www.myntra.com/accessories""},{""name"":""Unisex"",""url"":""https://www.myntra.com/unisex-accessories""},{""name"":""Backpacks"",""url"":""https://www.myntra.com/backpacks""},{""name"":""Tommy Hilfiger"",""url"":""https://www.myntra.com/tommy-hilfiger-backpacks""},{""name"":""More by Tommy Hilfiger"",""url"":""https://www.myntra.com/tommy-hilfiger""}]","[{""specification_name"":""Add-Ons"",""specification_value"":""NA""},{""specification_name"":""Back"",""specification_value"":""Padded Mesh""},{""specification_name"":""Compartment Closure"",""specification_value"":""Zip""},{""specification_name"":""External Pocket"",""specification_value"":""Zip Pocket""},{""specification_name"":""Features"",""specification_value"":""NA""},{""specification_name"":""Features 2"",""specification_value"":""NA""},{""specification_name"":""Haul Loop Type"",""specification_value"":""Non-Padded""},{""specification_name"":""Laptop Compartment"",""specification_value"":""Padded""},{""specification_name"":""Laptop Size"",""specification_value"":""Up to 15 inch""},{""specification_name"":""Material"",""specification_value"":""Polyester""},{""specification_name"":""Number of External Pockets"",""specification_value"":""1""},{""specification_name"":""Number of Main Compartments"",""specification_value"":""1""},{""specification_name"":""Number of Zips"",""specification_value"":""3 and more""},{""specification_name"":""Occasion"",""specification_value"":""Casual""},{""specification_name"":""Padded Shoulder Strap"",""specification_value"":""Padded""},{""specification_name"":""Print or Pattern Type"",""specification_value"":""Striped""},{""specification_name"":""Shoulder Strap Type"",""specification_value"":""NA""},{""specification_name"":""Side Pockets"",""specification_value"":""NA""},{""specification_name"":""Size"",""specification_value"":""Medium""},{""specification_name"":""Surface Styling"",""specification_value"":""NA""},{""specification_name"":""Sustainable"",""specification_value"":""Regular""},{""specification_name"":""Tablet Sleeve"",""specification_value"":""NA""},{""specification_name"":""Technology"",""specification_value"":""NA""},{""specification_name"":""Volume in Litres"",""specification_value"":""24 to 30 Litres""},{""specification_name"":""Warranty"",""specification_value"":""2 years""},{""specification_name"":""Water Resistance"",""specification_value"":""Yes""}]","{""1_star"":3,""2_stars"":4,""3_stars"":2,""4_stars"":8,""5_stars"":50}",,,"[{""size"":""Onesize""}]","[""rw-9136281_cae700""]",,"[{},{}]",{},"[{""offer_name"":""10% Instant Discount on Citi Credit & Debit Cards "",""offer_value"":"" Min Spend ₹3,000; Max Discount ₹1,000. ""},{""offer_name"":""EMI option available""}]",backpacks
17633752,Lavie,Aries Women Pink Mini Backpack,4.4,226,2999.0,65.0,"""₹2,999.00""",INR,"http://assets.myntassets.com/assets/images/17633752/2022/12/2/798da268-99f2-43c5-bc75-676b69ade7ac1669953532805LavieAriesWomenPinkMiniBackpack1.jpg,http://assets.myntassets.com/assets/images/17633752/2022/12/2/e7a55c7e-c8b1-4e43-8d1f-bcb08951b1521669953532852LavieAriesWomenPinkMiniBackpack2.jpg,http://assets.myntassets.com/assets/images/17633752/2022/12/2/c17326b2-2fef-4c64-ae83-ad3513e7c9fa1669953532877LavieAriesWomenPinkMiniBackpack3.jpg,http://assets.myntassets.com/assets/images/17633752/2022/12/2/a940d041-10c7-4a1c-8e27-72539e3a66271669953532899LavieAriesWomenPinkMiniBackpack4.jpg,http://assets.myntassets.com/assets/images/17633752/2022/12/2/1211f99f-e7f4-41f5-b92f-2fd6d4285f091669953532920LavieAriesWomenPinkMiniBackpack5.jpg,http://assets.myntassets.com/assets/images/17633752/2022/12/2/48bd56a9-cc30-4f96-9c6f-ffacea424abb1669953532941LavieAriesWomenPinkMiniBackpack6.jpg,http://assets.myntassets.com/assets/images/17633752/2022/12/2/c92d3c39-a88c-42e0-821a-3554fe8ce6b51669953532961LavieAriesWomenPinkMiniBackpack7.jpg,http://assets.myntassets.com/assets/images/17633752/2022/12/2/b36253c0-e8c5-42ba-a588-dd344c6200fd1669953532830LavieAriesWomenPinkMiniBackpack11.jpg","[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""Pink solid backpacks  Non-padded sternum shoulder straps, has 1 main compartment with zip closure,  Zip pocket,   Non-padded back  Water Resistance: no "",""material_and_care"":""Material: Synthetic. Wipe with a damp cloth"",""size_and_fit"":""Dimensions:&nbsp;28.5 X 23.5 X 11 cm. Volume: Up to 23 Litres. Laptop compartment can hold laptop""}","[{""name"":""Accessories"",""url"":""https://www.myntra.com/accessories""},{""name"":""Women"",""url"":""https://www.myntra.com/women-accessories""},{""name"":""Backpacks"",""url"":""https://www.myntra.com/backpacks""},{""name"":""Lavie"",""url"":""https://www.myntra.com/lavie-backpacks""},{""name"":""More by Lavie"",""url"":""https://www.myntra.com/lavie""}]","[{""specification_name"":""Add-Ons"",""specification_value"":""NA""},{""specification_name"":""Back"",""specification_value"":""Non-Padded""},{""specification_name"":""Compartment Closure"",""specification_value"":""Zip""},{""specification_name"":""External Pocket"",""specification_value"":""Zip Pocket""},{""specification_name"":""Features"",""specification_value"":""NA""},{""specification_name"":""Features 2"",""specification_value"":""NA""},{""specification_name"":""Haul Loop Type"",""specification_value"":""NA""},{""specification_name"":""Laptop Compartment"",""specification_value"":""NA""},{""specification_name"":""Laptop Size"",""specification_value"":""NA""},{""specification_name"":""Material"",""specification_value"":""Synthetic""},{""specification_name"":""Number of External Pockets"",""specification_value"":""NA""},{""specification_name"":""Number of Main Compartments"",""specification_value"":""1""},{""specification_name"":""Number of Zips"",""specification_value"":""1""},{""specification_name"":""Occasion"",""specification_value"":""Casual""},{""specification_name"":""Padded Shoulder Strap"",""specification_value"":""Non-Padded""},{""specification_name"":""Print or Pattern Type"",""specification_value"":""Solid""},{""specification_name"":""Shoulder Strap Type"",""specification_value"":""Sternum""},{""specification_name"":""Side Pockets"",""specification_value"":""NA""},{""specification_name"":""Size"",""specification_value"":""Small""},{""specification_name"":""Surface Styling"",""specification_value"":""NA""},{""specification_name"":""Sustainable"",""specification_value"":""Regular""},{""specification_name"":""Tablet Sleeve"",""specification_value"":""NA""},{""specification_name"":""Technology"",""specification_value"":""NA""},{""specification_name"":""Volume in Litres"",""specification_value"":""Up to 23 Litres""},{""specification_name"":""Warranty"",""specification_value"":""NA""},{""specification_name"":""Water Resistance"",""specification_value"":""No""}]","{""1_star"":9,""2_stars"":5,""3_stars"":10,""4_stars"":55,""5_stars"":147}",,,"[{""size"":""S""}]","[""https://videos.myntassets.com/assets/videos/2022/8/2/393c1588-d2b2-4861-badf-afccccfd8b47_17633752.mp4""]",,"[{},{},{},{},{},{}]",{},"[{""offer_name"":""10% Instant Discount on Citi Credit & Debit Cards "",""offer_value"":"" Min Spend ₹3,000; Max Discount ₹1,000. ""},{""offer_name"":""EMI option available""}]",backpacks
1376949,F Gear,Unisex Navy & Grey Printed Burner Backpack,4.4,1052,1675.0,52.0,"""₹1,675.00""",INR,"http://assets.myntassets.com/assets/images/1376949/2022/12/1/756cb321-b3b8-4246-b3c7-317980b06b071669873465440-F-Gear-Unisex-Navy--Grey-Printed-Burner-Backpack-41416698734-1.jpg,http://assets.myntassets.com/assets/images/1376949/2022/12/1/51c8350e-219f-4184-b5cf-b2287f5439151669873465427-F-Gear-Unisex-Navy--Grey-Printed-Burner-Backpack-41416698734-2.jpg,http://assets.myntassets.com/assets/images/1376949/2022/12/1/263412e0-976b-4ac2-bdef-00fef46526d01669873465413-F-Gear-Unisex-Navy--Grey-Printed-Burner-Backpack-41416698734-3.jpg,http://assets.myntassets.com/assets/images/1376949/2022/12/1/86c2ff0c-5132-444e-adcb-c8dab239c0491669873465396-F-Gear-Unisex-Navy--Grey-Printed-Burner-Backpack-41416698734-4.jpg","[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""Navy and grey printed backpackOne haul loop, two padded and adjustable shoulder strapsTwo main zip compartments, one with a slip pocket and the other with two slip pocketsTwo slip pockets on the frontA zip pocket on either sideWarranty: 1 year against manufacturing defects"",""material_and_care"":""Polyester. Wipe with a clean, dry cloth when needed"",""size_and_fit"":""Height: 45 cm. Width: 31 cm. Depth: 20 cm""}","[{""name"":""Accessories"",""url"":""https://www.myntra.com/accessories""},{""name"":""Unisex"",""url"":""https://www.myntra.com/unisex-accessories""},{""name"":""Backpacks"",""url"":""https://www.myntra.com/backpacks""},{""name"":""F Gear"",""url"":""https://www.myntra.com/f-gear-backpacks""},{""name"":""More by F Gear"",""url"":""https://www.myntra.com/f-gear""}]","[{""specification_name"":""Compartment Closure"",""specification_value"":""Drawstring""},{""specification_name"":""Laptop Size"",""specification_value"":""Up to 16 inch""},{""specification_name"":""Material"",""specification_value"":""Leather""},{""specification_name"":""Number of Main Compartments"",""specification_value"":""2""},{""specification_name"":""Occasion"",""specification_value"":""Casual""},{""specification_name"":""Size"",""specification_value"":""Medium""}]","{""1_star"":33,""2_stars"":21,""3_stars"":69,""4_stars"":282,""5_stars"":647}",,,"[{""size"":""Onesize""}]","[""https://videos.myntassets.com/assets/videos/2022/6/22/6a7c815d-9e1d-4af7-bcf5-4549a9a6abf7_1376949.mp4"",""https://videos.myntassets.com/assets/videos/2022/10/27/bc98c4e0-0c02-4d97-8f88-7b011099ade3_1376949.mp4""]",,,{},"[{""offer_name"":""10% Instant Discount on Citi Credit & Debit Cards "",""offer_value"":"" Min Spend ₹3,000; Max Discount ₹1,000. ""},{""offer_name"":""EMI option available""}]",backpacks
